name,condition,ZT,organ,group,rep
CV001,16,10,Ovary,Ovary_16_10,1
CV002,16,10,Anther,Anther_16_10,1
CV003,16,10,Style,Style_16_10,1
CV004,16,10,Ovary,Ovary_16_10,2
CV005,16,10,Anther,Anther_16_10,2
CV006,16,10,Style,Style_16_10,2
CV007,16,10,Ovary,Ovary_16_10,3
CV008,16,10,Anther,Anther_16_10,3
CV009,16,10,Style,Style_16_10,3
CV010,16,12,Ovary,Ovary_16_12,1
CV011,16,12,Anther,Anther_16_12,1
CV012,16,12,Style,Style_16_12,1
CV013,16,12,Ovary,Ovary_16_12,2
CV014,16,12,Anther,Anther_16_12,2
CV015,16,12,Style,Style_16_12,2
CV016,16,12,Ovary,Ovary_16_12,3
CV017,16,12,Anther,Anther_16_12,3
CV018,16,12,Style,Style_16_12,3
CV019,16,14,Ovary,Ovary_16_14,1
CV020,16,14,Anther,Anther_16_14,1
CV021,16,14,Style,Style_16_14,1
CV022,16,14,Ovary,Ovary_16_14,2
CV023,16,14,Anther,Anther_16_14,2
CV024,16,14,Style,Style_16_14,2
CV025,16,14,Ovary,Ovary_16_14,3
CV026,16,14,Anther,Anther_16_14,3
CV027,16,14,Style,Style_16_14,3
CV028,16,16,Ovary,Ovary_16_16,1
CV029,16,16,Anther,Anther_16_16,1
CV030,16,16,Style,Style_16_16,1
CV031,16,16,Ovary,Ovary_16_16,2
CV032,16,16,Anther,Anther_16_16,2
CV033,16,16,Style,Style_16_16,2
CV034,16,16,Ovary,Ovary_16_16,3
CV035,16,16,Anther,Anther_16_16,3
CV036,16,16,Style,Style_16_16,3
CV037,16,18,Ovary,Ovary_16_18,1
CV038,16,18,Anther,Anther_16_18,1
CV039,16,18,Style,Style_16_18,1
CV040,16,18,Ovary,Ovary_16_18,2
CV041,16,18,Anther,Anther_16_18,2
CV042,16,18,Style,Style_16_18,2
CV043,16,18,Ovary,Ovary_16_18,3
CV044,16,18,Anther,Anther_16_18,3
CV045,16,18,Style,Style_16_18,3
CV046,16,20,Ovary,Ovary_16_20,1
CV047,16,20,Anther,Anther_16_20,1
CV048,16,20,Style,Style_16_20,1
CV049,16,20,Ovary,Ovary_16_20,2
CV050,16,20,Anther,Anther_16_20,2
CV051,16,20,Style,Style_16_20,2
CV052,16,20,Ovary,Ovary_16_20,3
CV053,16,20,Anther,Anther_16_20,3
CV054,16,20,Style,Style_16_20,3
CV055,16,22,Ovary,Ovary_16_22,1
CV056,16,22,Anther,Anther_16_22,1
CV057,16,22,Style,Style_16_22,1
CV058,16,22,Ovary,Ovary_16_22,2
CV059,16,22,Anther,Anther_16_22,2
CV060,16,22,Style,Style_16_22,2
CV061,16,22,Ovary,Ovary_16_22,3
CV062,16,22,Anther,Anther_16_22,3
CV063,16,22,Style,Style_16_22,3
CV064,16,23,Ovary,Ovary_16_23,1
CV065,16,23,Anther,Anther_16_23,1
CV066,16,23,Style,Style_16_23,1
CV067,16,23,Ovary,Ovary_16_23,2
CV068,16,23,Anther,Anther_16_23,2
CV069,16,23,Style,Style_16_23,2
CV070,16,23,Ovary,Ovary_16_23,3
CV071,16,23,Anther,Anther_16_23,3
CV072,16,23,Style,Style_16_23,3
CV073,16,24,Ovary,Ovary_16_24,1
CV074,16,24,Anther,Anther_16_24,1
CV075,16,24,Style,Style_16_24,1
CV076,16,24,Ovary,Ovary_16_24,2
CV077,16,24,Anther,Anther_16_24,2
CV078,16,24,Style,Style_16_24,2
CV079,16,24,Ovary,Ovary_16_24,3
CV080,16,24,Anther,Anther_16_24,3
CV081,16,24,Style,Style_16_24,3
CV082,16,25,Anther,Anther_16_25,1
CV083,16,25,Style,Style_16_25,1
CV084,16,25,Anther,Anther_16_25,2
CV085,16,25,Style,Style_16_25,2
CV086,16,25,Anther,Anther_16_25,3
CV087,16,25,Style,Style_16_25,3
CV088,16,26,Ovary,Ovary_16_26,1
CV089,16,26,Anther,Anther_16_26,1
CV090,16,26,Style,Style_16_26,1
CV091,16,26,Ovary,Ovary_16_26,2
CV092,16,26,Anther,Anther_16_26,2
CV093,16,26,Style,Style_16_26,2
CV094,16,26,Ovary,Ovary_16_26,3
CV095,16,26,Anther,Anther_16_26,3
CV096,16,26,Style,Style_16_26,3
CV097,16,28,Ovary,Ovary_16_28,1
CV098,16,28,Anther,Anther_16_28,1
CV099,16,28,Style,Style_16_28,1
CV100,16,28,Ovary,Ovary_16_28,2
CV101,16,28,Anther,Anther_16_28,2
CV102,16,28,Style,Style_16_28,2
CV103,16,28,Ovary,Ovary_16_28,3
CV104,16,28,Anther,Anther_16_28,3
CV105,16,28,Style,Style_16_28,3
CV106,16,30,Anther,Anther_16_30,1
CV107,16,30,Style,Style_16_30,1
CV108,16,30,Anther,Anther_16_30,2
CV109,16,30,Style,Style_16_30,2
CV110,16,30,Anther,Anther_16_30,3
CV111,16,30,Style,Style_16_30,3
CV112,16,32,Ovary,Ovary_16_32,1
CV113,16,32,Anther,Anther_16_32,1
CV114,16,32,Style,Style_16_32,1
CV115,16,32,Ovary,Ovary_16_32,2
CV116,16,32,Anther,Anther_16_32,2
CV117,16,32,Style,Style_16_32,2
CV118,16,32,Ovary,Ovary_16_32,3
CV119,16,32,Anther,Anther_16_32,3
CV120,16,32,Style,Style_16_32,3
CV121,16,34,Anther,Anther_16_34,1
CV122,16,34,Style,Style_16_34,1
CV123,16,34,Anther,Anther_16_34,2
CV124,16,34,Style,Style_16_34,2
CV125,16,34,Anther,Anther_16_34,3
CV126,16,34,Style,Style_16_34,3
CV127,16,36,Ovary,Ovary_16_36,1
CV128,16,36,Anther,Anther_16_36,1
CV129,16,36,Style,Style_16_36,1
CV130,16,36,Ovary,Ovary_16_36,2
CV131,16,36,Anther,Anther_16_36,2
CV132,16,36,Style,Style_16_36,2
CV133,16,36,Ovary,Ovary_16_36,3
CV134,16,36,Anther,Anther_16_36,3
CV135,16,36,Style,Style_16_36,3
CV136,14,10,Ovary,Ovary_14_10,1
CV137,14,10,Anther,Anther_14_10,1
CV138,14,10,Style,Style_14_10,1
CV139,14,10,Ovary,Ovary_14_10,2
CV140,14,10,Anther,Anther_14_10,2
CV141,14,10,Style,Style_14_10,2
CV142,14,10,Ovary,Ovary_14_10,3
CV143,14,10,Anther,Anther_14_10,3
CV144,14,10,Style,Style_14_10,3
CV145,14,12,Ovary,Ovary_14_12,1
CV146,14,12,Anther,Anther_14_12,1
CV147,14,12,Style,Style_14_12,1
CV148,14,12,Ovary,Ovary_14_12,2
CV149,14,12,Anther,Anther_14_12,2
CV150,14,12,Style,Style_14_12,2
CV151,14,12,Ovary,Ovary_14_12,3
CV152,14,12,Anther,Anther_14_12,3
CV153,14,12,Style,Style_14_12,3
CV154,14,14,Ovary,Ovary_14_14,1
CV155,14,14,Anther,Anther_14_14,1
CV156,14,14,Style,Style_14_14,1
CV157,14,14,Ovary,Ovary_14_14,2
CV158,14,14,Anther,Anther_14_14,2
CV159,14,14,Style,Style_14_14,2
CV160,14,14,Ovary,Ovary_14_14,3
CV161,14,14,Anther,Anther_14_14,3
CV162,14,14,Style,Style_14_14,3
CV163,14,16,Ovary,Ovary_14_16,1
CV164,14,16,Anther,Anther_14_16,1
CV165,14,16,Style,Style_14_16,1
CV166,14,16,Ovary,Ovary_14_16,2
CV167,14,16,Anther,Anther_14_16,2
CV168,14,16,Style,Style_14_16,2
CV169,14,16,Ovary,Ovary_14_16,3
CV170,14,16,Anther,Anther_14_16,3
CV171,14,16,Style,Style_14_16,3
CV172,14,18,Ovary,Ovary_14_18,1
CV173,14,18,Anther,Anther_14_18,1
CV174,14,18,Style,Style_14_18,1
CV175,14,18,Ovary,Ovary_14_18,2
CV176,14,18,Anther,Anther_14_18,2
CV177,14,18,Style,Style_14_18,2
CV178,14,18,Ovary,Ovary_14_18,3
CV179,14,18,Anther,Anther_14_18,3
CV180,14,18,Style,Style_14_18,3
CV181,14,20,Ovary,Ovary_14_20,1
CV182,14,20,Anther,Anther_14_20,1
CV183,14,20,Style,Style_14_20,1
CV184,14,20,Ovary,Ovary_14_20,2
CV185,14,20,Anther,Anther_14_20,2
CV186,14,20,Style,Style_14_20,2
CV187,14,20,Ovary,Ovary_14_20,3
CV188,14,20,Anther,Anther_14_20,3
CV189,14,20,Style,Style_14_20,3
CV190,14,22,Ovary,Ovary_14_22,1
CV191,14,22,Anther,Anther_14_22,1
CV192,14,22,Style,Style_14_22,1
CV193,14,22,Ovary,Ovary_14_22,2
CV194,14,22,Anther,Anther_14_22,2
CV195,14,22,Style,Style_14_22,2
CV196,14,22,Ovary,Ovary_14_22,3
CV197,14,22,Anther,Anther_14_22,3
CV198,14,22,Style,Style_14_22,3
CV199,14,23,Ovary,Ovary_14_23,1
CV200,14,23,Anther,Anther_14_23,1
CV201,14,23,Style,Style_14_23,1
CV202,14,23,Ovary,Ovary_14_23,2
CV203,14,23,Anther,Anther_14_23,2
CV204,14,23,Style,Style_14_23,2
CV205,14,23,Ovary,Ovary_14_23,3
CV206,14,23,Anther,Anther_14_23,3
CV207,14,23,Style,Style_14_23,3
CV208,14,24,Ovary,Ovary_14_24,1
CV209,14,24,Anther,Anther_14_24,1
CV210,14,24,Style,Style_14_24,1
CV211,14,24,Ovary,Ovary_14_24,2
CV212,14,24,Anther,Anther_14_24,2
CV213,14,24,Style,Style_14_24,2
CV214,14,24,Ovary,Ovary_14_24,3
CV215,14,24,Anther,Anther_14_24,3
CV216,14,24,Style,Style_14_24,3
CV217,14,25,Anther,Anther_14_25,1
CV218,14,25,Style,Style_14_25,1
CV219,14,25,Anther,Anther_14_25,2
CV220,14,25,Style,Style_14_25,2
CV221,14,25,Anther,Anther_14_25,3
CV222,14,25,Style,Style_14_25,3
CV223,14,26,Ovary,Ovary_14_26,1
CV224,14,26,Anther,Anther_14_26,1
CV225,14,26,Style,Style_14_26,1
CV226,14,26,Ovary,Ovary_14_26,2
CV227,14,26,Anther,Anther_14_26,2
CV228,14,26,Style,Style_14_26,2
CV229,14,26,Ovary,Ovary_14_26,3
CV230,14,26,Anther,Anther_14_26,3
CV231,14,26,Style,Style_14_26,3
CV232,14,28,Ovary,Ovary_14_28,1
CV233,14,28,Anther,Anther_14_28,1
CV234,14,28,Style,Style_14_28,1
CV235,14,28,Ovary,Ovary_14_28,2
CV236,14,28,Anther,Anther_14_28,2
CV237,14,28,Style,Style_14_28,2
CV238,14,28,Ovary,Ovary_14_28,3
CV239,14,28,Anther,Anther_14_28,3
CV240,14,28,Style,Style_14_28,3
CV241,14,30,Anther,Anther_14_30,1
CV242,14,30,Style,Style_14_30,1
CV243,14,30,Anther,Anther_14_30,2
CV244,14,30,Style,Style_14_30,2
CV245,14,30,Anther,Anther_14_30,3
CV246,14,30,Style,Style_14_30,3
CV247,14,32,Ovary,Ovary_14_32,1
CV248,14,32,Anther,Anther_14_32,1
CV249,14,32,Style,Style_14_32,1
CV250,14,32,Style,Style_14_32,3
CV251,14,32,Anther,Anther_14_32,2
CV252,14,32,Style,Style_14_32,2
CV253,14,32,Ovary,Ovary_14_32,3
CV254,14,32,Anther,Anther_14_32,3
CV255,14,32,Ovary,Ovary_14_32,2
CV256,14,34,Anther,Anther_14_34,1
CV257,14,34,Style,Style_14_34,1
CV258,14,34,Anther,Anther_14_34,2
CV259,14,34,Style,Style_14_34,2
CV260,14,34,Anther,Anther_14_34,3
CV261,14,34,Style,Style_14_34,3
CV262,14,36,Ovary,Ovary_14_36,1
CV263,14,36,Anther,Anther_14_36,1
CV264,14,36,Style,Style_14_36,1
CV265,14,36,Ovary,Ovary_14_36,2
CV266,14,36,Anther,Anther_14_36,2
CV267,14,36,Style,Style_14_36,2
CV268,14,36,Ovary,Ovary_14_36,3
CV269,14,36,Anther,Anther_14_36,3
CV270,14,36,Style,Style_14_36,3
CV271,DD,12,Ovary,Ovary_DD_12,1
CV272,DD,12,Anther,Anther_DD_12,1
CV273,DD,12,Style,Style_DD_12,1
CV274,DD,12,Ovary,Ovary_DD_12,2
CV275,DD,12,Anther,Anther_DD_12,2
CV276,DD,12,Style,Style_DD_12,2
CV277,DD,16,Ovary,Ovary_DD_16,1
CV278,DD,16,Anther,Anther_DD_16,1
CV279,DD,16,Style,Style_DD_16,1
CV280,DD,16,Ovary,Ovary_DD_16,2
CV281,DD,16,Anther,Anther_DD_16,2
CV282,DD,16,Style,Style_DD_16,2
CV283,DD,20,Ovary,Ovary_DD_20,1
CV284,DD,20,Anther,Anther_DD_20,1
CV285,DD,20,Style,Style_DD_20,1
CV286,DD,20,Ovary,Ovary_DD_20,2
CV287,DD,20,Anther,Anther_DD_20,2
CV288,DD,20,Style,Style_DD_20,2
CV289,DD,24,Ovary,Ovary_DD_24,1
CV290,DD,24,Anther,Anther_DD_24,1
CV291,DD,24,Style,Style_DD_24,1
CV292,DD,24,Ovary,Ovary_DD_24,2
CV293,DD,24,Anther,Anther_DD_24,2
CV294,DD,24,Style,Style_DD_24,2
CV295,DD,28,Ovary,Ovary_DD_28,1
CV296,DD,28,Anther,Anther_DD_28,1
CV297,DD,28,Style,Style_DD_28,1
CV298,DD,28,Ovary,Ovary_DD_28,2
CV299,DD,28,Anther,Anther_DD_28,2
CV300,DD,28,Style,Style_DD_28,2
CV301,DD,32,Ovary,Ovary_DD_32,1
CV302,DD,32,Anther,Anther_DD_32,1
CV303,DD,32,Style,Style_DD_32,1
CV304,DD,32,Ovary,Ovary_DD_32,2
CV305,DD,32,Anther,Anther_DD_32,2
CV306,DD,32,Style,Style_DD_32,2
CV307,DD,36,Ovary,Ovary_DD_36,1
CV308,DD,36,Anther,Anther_DD_36,1
CV309,DD,36,Style,Style_DD_36,1
CV310,DD,36,Ovary,Ovary_DD_36,2
CV311,DD,36,Anther,Anther_DD_36,2
CV312,DD,36,Style,Style_DD_36,2
CV313,DD,40,Ovary,Ovary_DD_40,1
CV314,DD,40,Anther,Anther_DD_40,1
CV315,DD,40,Style,Style_DD_40,1
CV316,DD,40,Ovary,Ovary_DD_40,2
CV317,DD,40,Anther,Anther_DD_40,2
CV318,DD,40,Style,Style_DD_40,2
CV319,DD,44,Ovary,Ovary_DD_44,1
CV320,DD,44,Anther,Anther_DD_44,1
CV321,DD,44,Style,Style_DD_44,1
CV322,DD,44,Ovary,Ovary_DD_44,2
CV323,DD,44,Anther,Anther_DD_44,2
CV324,DD,44,Style,Style_DD_44,2
CV325,DD,48,Ovary,Ovary_DD_48,1
CV326,DD,48,Anther,Anther_DD_48,1
CV327,DD,48,Style,Style_DD_48,1
CV328,DD,48,Ovary,Ovary_DD_48,2
CV329,DD,48,Anther,Anther_DD_48,2
CV330,DD,48,Style,Style_DD_48,2
CV331,DD,52,Ovary,Ovary_DD_52,1
CV332,DD,52,Anther,Anther_DD_52,1
CV333,DD,52,Style,Style_DD_52,1
CV334,DD,52,Ovary,Ovary_DD_52,2
CV335,DD,52,Anther,Anther_DD_52,2
CV336,DD,52,Style,Style_DD_52,2
CV337,DD,56,Ovary,Ovary_DD_56,1
CV338,DD,56,Anther,Anther_DD_56,1
CV339,DD,56,Style,Style_DD_56,1
CV340,DD,56,Ovary,Ovary_DD_56,2
CV341,DD,56,Anther,Anther_DD_56,2
CV342,DD,56,Style,Style_DD_56,2
CV343,DD,60,Ovary,Ovary_DD_60,1
CV344,DD,60,Anther,Anther_DD_60,1
CV345,DD,60,Style,Style_DD_60,1
CV346,DD,60,Ovary,Ovary_DD_60,2
CV347,DD,60,Anther,Anther_DD_60,2
CV348,DD,60,Style,Style_DD_60,2
